UF,Ano/Semana,Casos prováveis de Dengue
Sergipe,2024/29 ,"41"
Acre,2024/29 ,"21"
Amapa,2024/29 ,"266"
Amazonas,2024/29 ,"70"
Para,2024/29 ,"211"
Rondonia,2024/29 ,"21"
Roraima,2024/29 ,"14"
Tocantins,2024/29 ,"13"
Espirito Santo,2024/29 ,"890"
Minas Gerais,2024/29 ,"1606"
Rio De Janeiro,2024/29 ,"866"
Sao Paulo,2024/29 ,"7438"
Parana,2024/29 ,"1037"
Rio Grande Do Sul,2024/29 ,"310"
Santa Catarina,2024/29 ,401
Distrito Federal,2024/30 ,"212"
Goias,2024/30 ,"1220"
Mato Grosso,2024/30 ,"299"
Mato Grosso Do Sul,2024/30 ,"43"
Alagoas,2024/30 ,"632"
Bahia,2024/30 ,"746"
Ceara,2024/30 ,"139"
Maranhao,2024/30 ,"35"
Paraiba,2024/30 ,"190"
Pernambuco,2024/30 ,"501"
Piaui,2024/30 ,"155"
Rio Grande Do Norte,2024/30 ,"200"
Sergipe,2024/30 ,"37"
Acre,2024/30 ,"15"
Amapa,2024/30 ,"229"
Amazonas,2024/30 ,"57"
Para,2024/30 ,"191"
Rondonia,2024/30 ,"19"
Roraima,2024/30 ,"17"
Tocantins,2024/30 ,"9"
Espirito Santo,2024/30 ,"811"
Minas Gerais,2024/30 ,"1094"
Rio De Janeiro,2024/30 ,"736"
Sao Paulo,2024/30 ,"6257"
Parana,2024/30 ,"1098"
Rio Grande Do Sul,2024/30 ,"275"
Santa Catarina,2024/30 ,446
Distrito Federal,2024/31 ,"241"
Goias,2024/31 ,"1263"
Mato Grosso,2024/31 ,"280"
Mato Grosso Do Sul,2024/31 ,"51"
Alagoas,2024/31 ,"461"
Bahia,2024/31 ,"687"
Ceara,2024/31 ,"167"
Maranhao,2024/31 ,"31"
Paraiba,2024/31 ,"201"
Pernambuco,2024/31 ,"365"
Piaui,2024/31 ,"118"
Rio Grande Do Norte,2024/31 ,"225"
Sergipe,2024/31 ,"36"
Acre,2024/31 ,"24"
Amapa,2024/31 ,"298"
Amazonas,2024/31 ,"61"
Para,2024/31 ,"199"
Rondonia,2024/31 ,"23"
Roraima,2024/31 ,"13"
Tocantins,2024/31 ,"17"
Espirito Santo,2024/31 ,"668"
Minas Gerais,2024/31 ,"1021"
Rio De Janeiro,2024/31 ,"663"
Sao Paulo,2024/31 ,"5291"
Parana,2024/31 ,"857"
Rio Grande Do Sul,2024/31 ,"247"
Santa Catarina,2024/31 ,371
Distrito Federal,2024/32 ,"229"
Goias,2024/32 ,"983"
Mato Grosso,2024/32 ,"217"
Mato Grosso Do Sul,2024/32 ,"28"
Alagoas,2024/32 ,"424"
Bahia,2024/32 ,"599"
Ceara,2024/32 ,"182"
Maranhao,2024/32 ,"36"
Paraiba,2024/32 ,"215"
Pernambuco,2024/32 ,"372"
Piaui,2024/32 ,"102"
Rio Grande Do Norte,2024/32 ,"218"
Sergipe,2024/32 ,"25"
Acre,2024/32 ,"26"
Amapa,2024/32 ,"217"
Amazonas,2024/32 ,"67"
Para,2024/32 ,"196"
Rondonia,2024/32 ,"22"
Roraima,2024/32 ,"28"
Tocantins,2024/32 ,"8"
Espirito Santo,2024/32 ,"604"
Minas Gerais,2024/32 ,"848"
Rio De Janeiro,2024/32 ,"541"
Sao Paulo,2024/32 ,"4272"
Parana,2024/32 ,"667"
Rio Grande Do Sul,2024/32 ,"158"
Santa Catarina,2024/32 ,272
Distrito Federal,2024/33 ,"250"
Goias,2024/33 ,"940"
Mato Grosso,2024/33 ,"159"
Mato Grosso Do Sul,2024/33 ,"27"
Alagoas,2024/33 ,"396"
Bahia,2024/33 ,"540"
Ceara,2024/33 ,"144"
Maranhao,2024/33 ,"27"
Paraiba,2024/33 ,"206"
Pernambuco,2024/33 ,"352"
Piaui,2024/33 ,"78"
Rio Grande Do Norte,2024/33 ,"187"
Sergipe,2024/33 ,"24"
Acre,2024/33 ,"21"
Amapa,2024/33 ,"200"
Amazonas,2024/33 ,"63"
Para,2024/33 ,"157"
Rondonia,2024/33 ,"14"
Roraima,2024/33 ,"17"
Tocantins,2024/33 ,"9"
Espirito Santo,2024/33 ,"547"
Minas Gerais,2024/33 ,"801"
Rio De Janeiro,2024/33 ,"464"
Sao Paulo,2024/33 ,"3679"
Parana,2024/33 ,"494"
Rio Grande Do Sul,2024/33 ,"137"
Santa Catarina,2024/33 ,200
Distrito Federal,2024/34 ,"220"
Goias,2024/34 ,"851"
Mato Grosso,2024/34 ,"146"
Mato Grosso Do Sul,2024/34 ,"30"
Alagoas,2024/34 ,"306"
Bahia,2024/34 ,"468"
Ceara,2024/34 ,"122"
Maranhao,2024/34 ,"27"
Paraiba,2024/34 ,"159"
Pernambuco,2024/34 ,"304"
Piaui,2024/34 ,"79"
Rio Grande Do Norte,2024/34 ,"147"
Sergipe,2024/34 ,"37"
Acre,2024/34 ,"18"
Amapa,2024/34 ,"181"
Amazonas,2024/34 ,"69"
Para,2024/34 ,"195"
Rondonia,2024/34 ,"20"
Roraima,2024/34 ,"12"
Tocantins,2024/34 ,"7"
Espirito Santo,2024/34 ,"542"
Minas Gerais,2024/34 ,"914"
Rio De Janeiro,2024/34 ,"498"
Sao Paulo,2024/34 ,"3263"
Parana,2024/34 ,"493"
Rio Grande Do Sul,2024/34 ,"124"
Santa Catarina,2024/34 ,189
Distrito Federal,2024/35 ,"184"
Goias,2024/35 ,"735"
Mato Grosso,2024/35 ,"140"
Mato Grosso Do Sul,2024/35 ,"24"
Alagoas,2024/35 ,"299"
Bahia,2024/35 ,"408"
Ceara,2024/35 ,"90"
Maranhao,2024/35 ,"32"
Paraiba,2024/35 ,"158"
Pernambuco,2024/35 ,"240"
Piaui,2024/35 ,"68"
Rio Grande Do Norte,2024/35 ,"135"
Sergipe,2024/35 ,"18"
Acre,2024/35 ,"17"
Amapa,2024/35 ,"130"
Amazonas,2024/35 ,"93"
Para,2024/35 ,"163"
Rondonia,2024/35 ,"15"
Roraima,2024/35 ,"21"
Tocantins,2024/35 ,"13"
Espirito Santo,2024/35 ,"499"
Minas Gerais,2024/35 ,"714"
Rio De Janeiro,2024/35 ,"429"
Sao Paulo,2024/35 ,"2826"
Parana,2024/35 ,"373"
Rio Grande Do Sul,2024/35 ,"112"
Santa Catarina,2024/35 ,85
Distrito Federal,2024/36 ,"175"
Goias,2024/36 ,"747"
Mato Grosso,2024/36 ,"145"
Mato Grosso Do Sul,2024/36 ,"16"
Alagoas,2024/36 ,"246"
Bahia,2024/36 ,"387"
Ceara,2024/36 ,"91"
Maranhao,2024/36 ,"23"
Paraiba,2024/36 ,"154"
Pernambuco,2024/36 ,"282"
Piaui,2024/36 ,"54"
Rio Grande Do Norte,2024/36 ,"136"
Sergipe,2024/36 ,"24"
Acre,2024/36 ,"19"
Amapa,2024/36 ,"113"
Amazonas,2024/36 ,"86"
Para,2024/36 ,"138"
Rondonia,2024/36 ,"6"
Roraima,2024/36 ,"10"
Tocantins,2024/36 ,"6"
Espirito Santo,2024/36 ,"505"
Minas Gerais,2024/36 ,"819"
Rio De Janeiro,2024/36 ,"513"
Sao Paulo,2024/36 ,"3065"
Parana,2024/36 ,"464"
Rio Grande Do Sul,2024/36 ,"133"
Santa Catarina,2024/36 ,74
Distrito Federal,2024/37 ,"187"
Goias,2024/37 ,"749"
Mato Grosso,2024/37 ,"111"
Mato Grosso Do Sul,2024/37 ,"23"
Alagoas,2024/37 ,"236"
Bahia,2024/37 ,"396"
Ceara,2024/37 ,"94"
Maranhao,2024/37 ,"27"
Paraiba,2024/37 ,"133"
Pernambuco,2024/37 ,"285"
Piaui,2024/37 ,"42"
Rio Grande Do Norte,2024/37 ,"122"
Sergipe,2024/37 ,"19"
Acre,2024/37 ,"29"
Amapa,2024/37 ,"101"
Amazonas,2024/37 ,"109"
Para,2024/37 ,"165"
Rondonia,2024/37 ,"16"
Roraima,2024/37 ,"8"
Tocantins,2024/37 ,"12"
Espirito Santo,2024/37 ,"435"
Minas Gerais,2024/37 ,"781"
Rio De Janeiro,2024/37 ,"583"
Sao Paulo,2024/37 ,"3022"
Parana,2024/37 ,"508"
Rio Grande Do Sul,2024/37 ,"134"
Santa Catarina,2024/37 ,78
Distrito Federal,2024/38 ,"173"
Goias,2024/38 ,"666"
Mato Grosso,2024/38 ,"137"
Mato Grosso Do Sul,2024/38 ,"40"
Alagoas,2024/38 ,"236"
Bahia,2024/38 ,"340"
Ceara,2024/38 ,"81"
Maranhao,2024/38 ,"27"
Paraiba,2024/38 ,"122"
Pernambuco,2024/38 ,"287"
Piaui,2024/38 ,"31"
Rio Grande Do Norte,2024/38 ,"133"
Sergipe,2024/38 ,"11"
Acre,2024/38 ,"29"
Amapa,2024/38 ,"108"
Amazonas,2024/38 ,"74"
Para,2024/38 ,"173"
Rondonia,2024/38 ,"10"
Roraima,2024/38 ,"9"
Tocantins,2024/38 ,"13"
Espirito Santo,2024/38 ,"456"
Minas Gerais,2024/38 ,"873"
Rio De Janeiro,2024/38 ,"420"
Sao Paulo,2024/38 ,"2876"
Parana,2024/38 ,"451"
Rio Grande Do Sul,2024/38 ,"103"
Santa Catarina,2024/38 ,84
Distrito Federal,2024/39 ,"197"
Goias,2024/39 ,"569"
Mato Grosso,2024/39 ,"75"
Mato Grosso Do Sul,2024/39 ,"36"
Alagoas,2024/39 ,"177"
Bahia,2024/39 ,"325"
Ceara,2024/39 ,"83"
Maranhao,2024/39 ,"19"
Paraiba,2024/39 ,"108"
Pernambuco,2024/39 ,"236"
Piaui,2024/39 ,"26"
Rio Grande Do Norte,2024/39 ,"122"
Sergipe,2024/39 ,"10"
Acre,2024/39 ,"36"
Amapa,2024/39 ,"94"
Amazonas,2024/39 ,"65"
Para,2024/39 ,"134"
Rondonia,2024/39 ,"8"
Roraima,2024/39 ,"14"
Tocantins,2024/39 ,"4"
Espirito Santo,2024/39 ,"470"
Minas Gerais,2024/39 ,"855"
Rio De Janeiro,2024/39 ,"392"
Sao Paulo,2024/39 ,"2902"
Parana,2024/39 ,"490"
Rio Grande Do Sul,2024/39 ,"125"
Santa Catarina,2024/39 ,98
Distrito Federal,2024/40 ,"181"
Goias,2024/40 ,"578"
Mato Grosso,2024/40 ,"95"
Mato Grosso Do Sul,2024/40 ,"34"
Alagoas,2024/40 ,"152"
Bahia,2024/40 ,"244"
Ceara,2024/40 ,"52"
Maranhao,2024/40 ,"19"
Paraiba,2024/40 ,"104"
Pernambuco,2024/40 ,"213"
Piaui,2024/40 ,"40"
Rio Grande Do Norte,2024/40 ,"89"
Sergipe,2024/40 ,"23"
Acre,2024/40 ,"64"
Amapa,2024/40 ,"97"
Amazonas,2024/40 ,"64"
Para,2024/40 ,"128"
Rondonia,2024/40 ,"4"
Roraima,2024/40 ,"9"
Tocantins,2024/40 ,"5"
Espirito Santo,2024/40 ,"509"
Minas Gerais,2024/40 ,"891"
Rio De Janeiro,2024/40 ,"359"
Sao Paulo,2024/40 ,"2862"
Parana,2024/40 ,"477"
Rio Grande Do Sul,2024/40 ,"114"
Santa Catarina,2024/40 ,99
Distrito Federal,2024/41 ,"168"
Goias,2024/41 ,"642"
Mato Grosso,2024/41 ,"81"
Mato Grosso Do Sul,2024/41 ,"37"
Alagoas,2024/41 ,"134"
Bahia,2024/41 ,"280"
Ceara,2024/41 ,"61"
Maranhao,2024/41 ,"16"
Paraiba,2024/41 ,"118"
Pernambuco,2024/41 ,"216"
Piaui,2024/41 ,"37"
Rio Grande Do Norte,2024/41 ,"125"
Sergipe,2024/41 ,"11"
Acre,2024/41 ,"68"
Amapa,2024/41 ,"74"
Amazonas,2024/41 ,"85"
Para,2024/41 ,"85"
Rondonia,2024/41 ,"7"
Roraima,2024/41 ,"13"
Tocantins,2024/41 ,"6"
Espirito Santo,2024/41 ,"442"
Minas Gerais,2024/41 ,"849"
Rio De Janeiro,2024/41 ,"355"
Sao Paulo,2024/41 ,"2612"
Parana,2024/41 ,"425"
Rio Grande Do Sul,2024/41 ,"96"
Santa Catarina,2024/41 ,109
Distrito Federal,2024/42 ,"155"
Goias,2024/42 ,"644"
Mato Grosso,2024/42 ,"81"
Mato Grosso Do Sul,2024/42 ,"36"
Alagoas,2024/42 ,"117"
Bahia,2024/42 ,"300"
Ceara,2024/42 ,"65"
Maranhao,2024/42 ,"23"
Paraiba,2024/42 ,"122"
Pernambuco,2024/42 ,"228"
Piaui,2024/42 ,"42"
Rio Grande Do Norte,2024/42 ,"115"
Sergipe,2024/42 ,"15"
Acre,2024/42 ,"69"
Amapa,2024/42 ,"70"
Amazonas,2024/42 ,"78"
Para,2024/42 ,"109"
Rondonia,2024/42 ,"11"
Roraima,2024/42 ,"4"
Tocantins,2024/42 ,"7"
Espirito Santo,2024/42 ,"581"
Minas Gerais,2024/42 ,"846"
Rio De Janeiro,2024/42 ,"328"
Sao Paulo,2024/42 ,"2943"
Parana,2024/42 ,"486"
Rio Grande Do Sul,2024/42 ,"118"
Santa Catarina,2024/42 ,111
Distrito Federal,2024/43 ,"202"
Goias,2024/43 ,"775"
Mato Grosso,2024/43 ,"95"
Mato Grosso Do Sul,2024/43 ,"30"
Alagoas,2024/43 ,"98"
Bahia,2024/43 ,"290"
Ceara,2024/43 ,"54"
Maranhao,2024/43 ,"19"
Paraiba,2024/43 ,"140"
Pernambuco,2024/43 ,"240"
Piaui,2024/43 ,"37"
Rio Grande Do Norte,2024/43 ,"102"
Sergipe,2024/43 ,"10"
Acre,2024/43 ,"88"
Amapa,2024/43 ,"52"
Amazonas,2024/43 ,"92"
Para,2024/43 ,"120"
Rondonia,2024/43 ,"8"
Roraima,2024/43 ,"4"
Tocantins,2024/43 ,"12"
Espirito Santo,2024/43 ,"663"
Minas Gerais,2024/43 ,"1016"
Rio De Janeiro,2024/43 ,"398"
Sao Paulo,2024/43 ,"2882"
Parana,2024/43 ,"522"
Rio Grande Do Sul,2024/43 ,"113"
Santa Catarina,2024/43 ,121
Distrito Federal,2024/44 ,"239"
Goias,2024/44 ,"889"
Mato Grosso,2024/44 ,"110"
Mato Grosso Do Sul,2024/44 ,"38"
Alagoas,2024/44 ,"99"
Bahia,2024/44 ,"305"
Ceara,2024/44 ,"35"
Maranhao,2024/44 ,"32"
Paraiba,2024/44 ,"129"
Pernambuco,2024/44 ,"231"
Piaui,2024/44 ,"25"
Rio Grande Do Norte,2024/44 ,"134"
Sergipe,2024/44 ,"8"
Acre,2024/44 ,"93"
Amapa,2024/44 ,"53"
Amazonas,2024/44 ,"118"
Para,2024/44 ,"128"
Rondonia,2024/44 ,"12"
Roraima,2024/44 ,"6"
Tocantins,2024/44 ,"6"
Espirito Santo,2024/44 ,"610"
Minas Gerais,2024/44 ,"1119"
Rio De Janeiro,2024/44 ,"377"
Sao Paulo,2024/44 ,"3171"
Parana,2024/44 ,"591"
Rio Grande Do Sul,2024/44 ,"128"
Santa Catarina,2024/44 ,131
Distrito Federal,2024/45 ,"334"
Goias,2024/45 ,"991"
Mato Grosso,2024/45 ,"128"
Mato Grosso Do Sul,2024/45 ,"39"
Alagoas,2024/45 ,"88"
Bahia,2024/45 ,"332"
Ceara,2024/45 ,"45"
Maranhao,2024/45 ,"22"
Paraiba,2024/45 ,"117"
Pernambuco,2024/45 ,"229"
Piaui,2024/45 ,"35"
Rio Grande Do Norte,2024/45 ,"116"
Sergipe,2024/45 ,"13"
Acre,2024/45 ,"87"
Amapa,2024/45 ,"28"
Amazonas,2024/45 ,"94"
Para,2024/45 ,"146"
Rondonia,2024/45 ,"10"
Roraima,2024/45 ,"7"
Tocantins,2024/45 ,"14"
Espirito Santo,2024/45 ,"811"
Minas Gerais,2024/45 ,"1345"
Rio De Janeiro,2024/45 ,"416"
Sao Paulo,2024/45 ,"3163"
Parana,2024/45 ,"538"
Rio Grande Do Sul,2024/45 ,"134"
Santa Catarina,2024/45 ,134
Distrito Federal,2024/46 ,"316"
Goias,2024/46 ,"1139"
Mato Grosso,2024/46 ,"168"
Mato Grosso Do Sul,2024/46 ,"32"
Alagoas,2024/46 ,"72"
Bahia,2024/46 ,"307"
Ceara,2024/46 ,"45"
Maranhao,2024/46 ,"30"
Paraiba,2024/46 ,"114"
Pernambuco,2024/46 ,"217"
Piaui,2024/46 ,"36"
Rio Grande Do Norte,2024/46 ,"98"
Sergipe,2024/46 ,"3"
Acre,2024/46 ,"136"
Amapa,2024/46 ,"47"
Amazonas,2024/46 ,"75"
Para,2024/46 ,"159"
Rondonia,2024/46 ,"18"
Roraima,2024/46 ,"4"
Tocantins,2024/46 ,"9"
Espirito Santo,2024/46 ,"855"
Minas Gerais,2024/46 ,"1527"
Rio De Janeiro,2024/46 ,"329"
Sao Paulo,2024/46 ,"3608"
Parana,2024/46 ,"587"
Rio Grande Do Sul,2024/46 ,"114"
Santa Catarina,2024/46 ,157
Distrito Federal,2024/47 ,"472"
Goias,2024/47 ,"1489"
Mato Grosso,2024/47 ,"220"
Mato Grosso Do Sul,2024/47 ,"40"
Alagoas,2024/47 ,"68"
Bahia,2024/47 ,"365"
Ceara,2024/47 ,"79"
Maranhao,2024/47 ,"31"
Paraiba,2024/47 ,"130"
Pernambuco,2024/47 ,"248"
Piaui,2024/47 ,"30"
Rio Grande Do Norte,2024/47 ,"92"
Sergipe,2024/47 ,"5"
Acre,2024/47 ,"177"
Amapa,2024/47 ,"30"
Amazonas,2024/47 ,"136"
Para,2024/47 ,"201"
Rondonia,2024/47 ,"14"
Roraima,2024/47 ,"2"
Tocantins,2024/47 ,"21"
Espirito Santo,2024/47 ,"1210"
Minas Gerais,2024/47 ,"1990"
Rio De Janeiro,2024/47 ,"299"
Sao Paulo,2024/47 ,"4494"
Parana,2024/47 ,"704"
Rio Grande Do Sul,2024/47 ,"90"
Santa Catarina,2024/47 ,140
Distrito Federal,2024/48 ,"359"
Goias,2024/48 ,"1508"
Mato Grosso,2024/48 ,"270"
Mato Grosso Do Sul,2024/48 ,"40"
Alagoas,2024/48 ,"51"
Bahia,2024/48 ,"404"
Ceara,2024/48 ,"60"
Maranhao,2024/48 ,"26"
Paraiba,2024/48 ,"115"
Pernambuco,2024/48 ,"258"
Piaui,2024/48 ,"45"
Rio Grande Do Norte,2024/48 ,"110"
Sergipe,2024/48 ,"10"
Acre,2024/48 ,"185"
Amapa,2024/48 ,"21"
Amazonas,2024/48 ,"93"
Para,2024/48 ,"148"
Rondonia,2024/48 ,"16"
Roraima,2024/48 ,"4"
Tocantins,2024/48 ,"16"
Espirito Santo,2024/48 ,"1418"
Minas Gerais,2024/48 ,"2221"
Rio De Janeiro,2024/48 ,"374"
Sao Paulo,2024/48 ,"5127"
Parana,2024/48 ,"700"
Rio Grande Do Sul,2024/48 ,"141"
Santa Catarina,2024/48 ,144
Distrito Federal,2024/49 ,"403"
Goias,2024/49 ,"1748"
Mato Grosso,2024/49 ,"416"
Mato Grosso Do Sul,2024/49 ,"42"
Alagoas,2024/49 ,"56"
Bahia,2024/49 ,"423"
Ceara,2024/49 ,"47"
Maranhao,2024/49 ,"28"
Paraiba,2024/49 ,"122"
Pernambuco,2024/49 ,"213"
Piaui,2024/49 ,"22"
Rio Grande Do Norte,2024/49 ,"108"
Sergipe,2024/49 ,"7"
Acre,2024/49 ,"252"
Amapa,2024/49 ,"23"
Amazonas,2024/49 ,"145"
Para,2024/49 ,"180"
Rondonia,2024/49 ,"24"
Roraima,2024/49 ,"4"
Tocantins,2024/49 ,"19"
Espirito Santo,2024/49 ,"1630"
Minas Gerais,2024/49 ,"2462"
Rio De Janeiro,2024/49 ,"380"
Sao Paulo,2024/49 ,"6526"
Parana,2024/49 ,"711"
Rio Grande Do Sul,2024/49 ,"123"
Santa Catarina,2024/49 ,244
Distrito Federal,2024/50 ,"336"
Goias,2024/50 ,"1592"
Mato Grosso,2024/50 ,"492"
Mato Grosso Do Sul,2024/50 ,"73"
Alagoas,2024/50 ,"53"
Bahia,2024/50 ,"430"
Ceara,2024/50 ,"35"
Maranhao,2024/50 ,"33"
Paraiba,2024/50 ,"130"
Pernambuco,2024/50 ,"227"
Piaui,2024/50 ,"36"
Rio Grande Do Norte,2024/50 ,"120"
Sergipe,2024/50 ,"6"
Acre,2024/50 ,"360"
Amapa,2024/50 ,"19"
Amazonas,2024/50 ,"126"
Para,2024/50 ,"196"
Rondonia,2024/50 ,"18"
Roraima,2024/50 ,"4"
Tocantins,2024/50 ,"23"
Espirito Santo,2024/50 ,"1833"
Minas Gerais,2024/50 ,"2603"
Rio De Janeiro,2024/50 ,"407"
Sao Paulo,2024/50 ,"8279"
Parana,2024/50 ,"757"
Rio Grande Do Sul,2024/50 ,"86"
Santa Catarina,2024/50 ,333
Distrito Federal,2024/51 ,"298"
Goias,2024/51 ,"1351"
Mato Grosso,2024/51 ,"577"
Mato Grosso Do Sul,2024/51 ,"59"
Alagoas,2024/51 ,"53"
Bahia,2024/51 ,"404"
Ceara,2024/51 ,"38"
Maranhao,2024/51 ,"14"
Paraiba,2024/51 ,"99"
Pernambuco,2024/51 ,"249"
Piaui,2024/51 ,"19"
Rio Grande Do Norte,2024/51 ,"122"
Sergipe,2024/51 ,"3"
Acre,2024/51 ,"403"
Amapa,2024/51 ,"18"
Amazonas,2024/51 ,"99"
Para,2024/51 ,"176"
Rondonia,2024/51 ,"22"
Roraima,2024/51 ,"3"
Tocantins,2024/51 ,"18"
Espirito Santo,2024/51 ,"2153"
Minas Gerais,2024/51 ,"2229"
Rio De Janeiro,2024/51 ,"292"
Sao Paulo,2024/51 ,"8296"
Parana,2024/51 ,"740"
Rio Grande Do Sul,2024/51 ,"97"
Santa Catarina,2024/51 ,252
Distrito Federal,2024/52 ,"143"
Goias,2024/52 ,"657"
Mato Grosso,2024/52 ,"344"
Mato Grosso Do Sul,2024/52 ,"35"
Alagoas,2024/52 ,"36"
Bahia,2024/52 ,"219"
Ceara,2024/52 ,"8"
Maranhao,2024/52 ,"11"
Paraiba,2024/52 ,"72"
Pernambuco,2024/52 ,"97"
Piaui,2024/52 ,"11"
Rio Grande Do Norte,2024/52 ,"53"
Sergipe,2024/52 ,"2"
Acre,2024/52 ,"198"
Amapa,2024/52 ,"7"
Amazonas,2024/52 ,"56"
Para,2024/52 ,"83"
Rondonia,2024/52 ,"2"
Roraima,2024/52 ,"1"
Tocantins,2024/52 ,"5"
Espirito Santo,2024/52 ,"1894"
Minas Gerais,2024/52 ,"1005"
Rio De Janeiro,2024/52 ,"151"
Sao Paulo,2024/52 ,"5403"
Parana,2024/52 ,"518"
Rio Grande Do Sul,2024/52 ,"47"
Santa Catarina,2024/52 ,211
Distrito Federal,2025/01 ,"372"
Goias,2025/01 ,"1684"
Mato Grosso,2025/01 ,"1011"
Mato Grosso Do Sul,2025/01 ,"134"
Alagoas,2025/01 ,"66"
Bahia,2025/01 ,"476"
Ceara,2025/01 ,"50"
Maranhao,2025/01 ,"30"
Paraiba,2025/01 ,"89"
Pernambuco,2025/01 ,"221"
Piaui,2025/01 ,"40"
Rio Grande Do Norte,2025/01 ,"67"
Sergipe,2025/01 ,"13"
Acre,2025/01 ,"540"
Amapa,2025/01 ,"49"
Amazonas,2025/01 ,"162"
Para,2025/01 ,"307"
Rondonia,2025/01 ,"31"
Roraima,2025/01 ,"4"
Tocantins,2025/01 ,"38"
Espirito Santo,2025/01 ,"1723"
Minas Gerais,2025/01 ,"2732"
Rio De Janeiro,2025/01 ,"516"
Sao Paulo,2025/01 ,"18593"
Parana,2025/01 ,"1101"
Rio Grande Do Sul,2025/01 ,"137"
Santa Catarina,2025/01 ,337
Distrito Federal,2025/02 ,"452"
Goias,2025/02 ,"2450"
Mato Grosso,2025/02 ,"1559"
Mato Grosso Do Sul,2025/02 ,"202"
Alagoas,2025/02 ,"70"
Bahia,2025/02 ,"583"
Ceara,2025/02 ,"96"
Maranhao,2025/02 ,"57"
Paraiba,2025/02 ,"101"
Pernambuco,2025/02 ,"280"
Piaui,2025/02 ,"70"
Rio Grande Do Norte,2025/02 ,"94"
Sergipe,2025/02 ,"9"
Acre,2025/02 ,"616"
Amapa,2025/02 ,"109"
Amazonas,2025/02 ,"173"
Para,2025/02 ,"500"
Rondonia,2025/02 ,"47"
Roraima,2025/02 ,"5"
Tocantins,2025/02 ,"69"
Espirito Santo,2025/02 ,"1948"
Minas Gerais,2025/02 ,"3815"
Rio De Janeiro,2025/02 ,"614"
Sao Paulo,2025/02 ,"22676"
Parana,2025/02 ,"1383"
Rio Grande Do Sul,2025/02 ,"204"
Santa Catarina,2025/02 ,344
Distrito Federal,2025/03 ,"386"
Goias,2025/03 ,"2495"
Mato Grosso,2025/03 ,"2044"
Mato Grosso Do Sul,2025/03 ,"270"
Alagoas,2025/03 ,"57"
Bahia,2025/03 ,"672"
Ceara,2025/03 ,"94"
Maranhao,2025/03 ,"78"
Paraiba,2025/03 ,"112"
Pernambuco,2025/03 ,"250"
Piaui,2025/03 ,"106"
Rio Grande Do Norte,2025/03 ,"105"
Sergipe,2025/03 ,"6"
Acre,2025/03 ,"604"
Amapa,2025/03 ,"86"
Amazonas,2025/03 ,"183"
Para,2025/03 ,"680"
Rondonia,2025/03 ,"41"
Roraima,2025/03 ,"6"
Tocantins,2025/03 ,"65"
Espirito Santo,2025/03 ,"2065"
Minas Gerais,2025/03 ,"5012"
Rio De Janeiro,2025/03 ,"692"
Sao Paulo,2025/03 ,"26188"
Parana,2025/03 ,"1641"
Rio Grande Do Sul,2025/03 ,"217"
Santa Catarina,2025/03 ,329
Distrito Federal,2025/04 ,"434"
Goias,2025/04 ,"3162"
Mato Grosso,2025/04 ,"2180"
Mato Grosso Do Sul,2025/04 ,"296"
Alagoas,2025/04 ,"46"
Bahia,2025/04 ,"885"
Ceara,2025/04 ,"88"
Maranhao,2025/04 ,"101"
Paraiba,2025/04 ,"162"
Pernambuco,2025/04 ,"291"
Piaui,2025/04 ,"129"
Rio Grande Do Norte,2025/04 ,"124"
Sergipe,2025/04 ,"9"
Acre,2025/04 ,"712"
Amapa,2025/04 ,"138"
Amazonas,2025/04 ,"209"
Para,2025/04 ,"704"
Rondonia,2025/04 ,"42"
Roraima,2025/04 ,"5"
Tocantins,2025/04 ,"100"
Espirito Santo,2025/04 ,"2227"
Minas Gerais,2025/04 ,"6479"
Rio De Janeiro,2025/04 ,"900"
Sao Paulo,2025/04 ,"31330"
Parana,2025/04 ,"2031"
Rio Grande Do Sul,2025/04 ,"253"
Santa Catarina,2025/04 ,395
Distrito Federal,2025/05 ,"428"
Goias,2025/05 ,"3679"
Mato Grosso,2025/05 ,"1987"
Mato Grosso Do Sul,2025/05 ,"357"
Alagoas,2025/05 ,"57"
Bahia,2025/05 ,"815"
Ceara,2025/05 ,"94"
Maranhao,2025/05 ,"137"
Paraiba,2025/05 ,"171"
Pernambuco,2025/05 ,"326"
Piaui,2025/05 ,"147"
Rio Grande Do Norte,2025/05 ,"134"
Sergipe,2025/05 ,"24"
Acre,2025/05 ,"763"
Amapa,2025/05 ,"137"
Amazonas,2025/05 ,"205"
Para,2025/05 ,"902"
Rondonia,2025/05 ,"50"
Roraima,2025/05 ,"9"
Tocantins,2025/05 ,"88"
Espirito Santo,2025/05 ,"2078"
Minas Gerais,2025/05 ,"6932"
Rio De Janeiro,2025/05 ,"1192"
Sao Paulo,2025/05 ,"35451"
Parana,2025/05 ,"2285"
Rio Grande Do Sul,2025/05 ,"232"
Santa Catarina,2025/05 ,375
Distrito Federal,2025/06 ,"563"
Goias,2025/06 ,"3901"
Mato Grosso,2025/06 ,"1854"
Mato Grosso Do Sul,2025/06 ,"420"
Alagoas,2025/06 ,"83"
Bahia,2025/06 ,"1041"
Ceara,2025/06 ,"119"
Maranhao,2025/06 ,"193"
Paraiba,2025/06 ,"214"
Pernambuco,2025/06 ,"448"
Piaui,2025/06 ,"180"
